@Homem-Aranha: A Nova Série Animada	2003	1664
4	8	dub	https://embedplayer2.xyz/cdn/hls/4f745b1bb1443f65ee573a09b2eccb68/master.txt,7:1426451
4	9	dub	https://embedplayer2.xyz/cdn/hls/84bd23fa941a80d7cb376cab33721632/master.txt,7:1426452
4	10	dub	https://embedplayer2.xyz/cdn/hls/35c07eebe8328eea6460319f2e570878/master.txt,7:1426453
4	11	dub	https://embedplayer2.xyz/cdn/hls/e46db2cd32a2e3e3aaaa35f68e843acf/master.txt,7:1426454
4	12	dub	https://embedplayer2.xyz/cdn/hls/215c4a3053aa7c2cc9da28d9b951f074/master.txt,7:1426455
4	13	dub	https://embedplayer2.xyz/cdn/hls/d8b0fbd65540a6fea5623e839536b25e/master.txt,7:1426456
4	14	dub	https://embedplayer2.xyz/cdn/hls/c33397d596ae79f08441ddded6595003/master.txt,7:1426457
4	15	dub	https://embedplayer2.xyz/cdn/hls/be209e31c433703183657a435f358993/master.txt,7:1426458
4	16	dub	https://embedplayer2.xyz/cdn/hls/eef64bb631ebf4af4d3a95707f8d90f4/master.txt,7:1426459
4	17	dub	https://embedplayer2.xyz/cdn/hls/e520ba20ace4fbdb6269aba683cbd2d9/master.txt,7:1426460
4	18	dub	https://embedplayer2.xyz/cdn/hls/1cad8c7950bdede3ac1ac284f82111c0/master.txt,7:1426461
4	19	dub	https://embedplayer2.xyz/cdn/hls/729f6b5769d8a68ac72ddc5b7e358de7/master.txt,7:1426462
4	20	dub	https://embedplayer2.xyz/cdn/hls/d08430f9b3d66046cb8dc70996eee2f8/master.txt,7:1426463
4	21	dub	https://embedplayer2.xyz/cdn/hls/cee1e19a77fdff52080a893d6b4cbf28/master.txt,7:1426464
4	22	dub	https://embedplayer2.xyz/cdn/hls/974a43f93fab2158741e2bcc89c66ae6/master.txt,7:1426465
4	23	dub	https://embedplayer2.xyz/cdn/hls/3a3157b43081ab01c9fcb5f25497e4f9/master.txt,7:1426466
4	24	dub	https://embedplayer2.xyz/cdn/hls/f91b36a2b204e5994664469f6cd8df8a/master.txt,7:1426467
@BULLET/BULLET	2025	215401
1	1	dub	3:335252,11:2185716,9:335252,13:335252,15:335252,17:2185716
1	2	dub	3:335253,11:2185717,9:335253,13:335253,15:335253,17:2185717
1	3	dub	3:335254,11:2185718,9:335254,13:335254,15:335254,17:2185718
1	4	dub	3:335255,11:2185719,9:335255,13:335255,15:335255,17:2185719
1	5	dub	3:335256,11:2185720,9:335256,13:335256,15:335256,17:2185720
1	6	dub	3:335257,11:2185721,9:335257,13:335257,15:335257,17:2185721
1	7	dub	3:335258,11:2185722,9:335258,13:335258,15:335258,17:2185722
