@A Juíza do Inferno	2024	235577
1	15	dub	https://embedplayer2.xyz/cdn/hls/bf6367fa9388112ea416a038474f2f49/master.txt
@Classe dos Heróis Fracos	2022	200709
1	1	dub	https://embedplayer2.xyz/cdn/hls/8b6e5bfdfb2713095b33a0b1edc952f6/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/59649c474d0a6a399c2f8a538b2b0f84/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/a1b4d371b8acc8e85c2f8cad53951c75/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/6a7f8e244b9df5c39232902742828b10/master.txt
@Dra. Cha	2023	214997
1	1	dub	https://embedplayer2.xyz/cdn/hls/1342f283c5b3f4157a6bf5137141ef62/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/207b642a59d66d52dffe0fc0c6b7ec58/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/1581ca88cc74cab1474b2250942d5931/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/aec08c23782580a5246ddd02e6c4bb68/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/ccaa7f2ddb7e7a4d00d3a0832b56466a/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/42533a621403200cdb385255273b73cd/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/b82d3af9db536e866a0bc73695bac9bc/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/4f3fb40c629a26dd19faa224d03563cf/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/2e5c6172947e0d2bab0e8938f8aac6e7/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/4640171ed7694a043e45527d9cec8375/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/a8848cef580ce66707f85d8db085987c/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/32823ca2bc2bb171556741f46fcbfb75/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/e37e79caa2700ae01e45c2903d8e0064/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/783f4a98a121edb4c199af45f26f4270/master.txt
1	15	dub	https://embedplayer2.xyz/cdn/hls/b1530a30a41662932b1e2dd76f76a688/master.txt
1	16	dub	https://embedplayer2.xyz/cdn/hls/f34e4ed07f5da64c8d19b7bbb3fc8815/master.txt
@Nosso Destino	2023	215001
1	1	dub	https://embedplayer2.xyz/cdn/hls/a8fb685acce94aa8feb4015627f81e47/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/2daf5b67c06e216eb4f0dcd1d51c6384/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/7863a1b0fe20efd264d1ad0d76d4d581/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/cf78789b099800010ecd75548fdea1fa/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/27092627a75836cb4dbb59d17a9712f2/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/2a6444697cbb465b154df8881981288b/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/a425c1f6652f857cc3ae4c9a423a540e/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/9e673ae355e915df0c70328c1c038a29/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/f41e27b6a12eda088100a6d8ffe342c2/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/1e6f641a4a4f1d981d9999b7c01afbf7/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/96a4f780f66acd4bcb69bf1711755030/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/eb6307a869fa8c9d0c53151a2367a2cb/master.txt
1	16	dub	https://embedplayer2.xyz/cdn/hls/2f3ad15279305c1a96be991cc5eeacbf/master.txt
@Rainha das Lágrimas		215720
